Month,Predicted_Price,Predicted_Quantity
01-01-2020,4044.909481,34603.15668
02-01-2020,4035.131263,32617.24537
03-01-2020,4025.857857,33961.80941
04-01-2020,4016.266207,33246.51456
06-01-2020,3977.949579,36894.77023
07-01-2020,3947.839471,35047.63786
08-01-2020,3934.045037,36137.20399
09-01-2020,3922.101466,34266.36361
10-01-2020,3910.741484,35681.02785
11-01-2020,3899.157764,34989.80895
13-01-2020,3857.197558,38549.05007
14-01-2020,3825.460504,36591.7597
16-01-2020,3796.904756,35473.06183
17-01-2020,3784.365578,36668.54795
18-01-2020,3771.759217,35731.00186
20-01-2020,3728.217375,38738.5986
21-01-2020,3695.91139,36488.00365
22-01-2020,3680.200866,37130.45024
23-01-2020,3666.616387,34778.69391
24-01-2020,3653.881145,35689.06479
25-01-2020,3641.173407,34480.91766
27-01-2020,3597.637871,37011.56869
28-01-2020,3565.398084,34563.61056
29-01-2020,3549.766119,35041.00454
30-01-2020,3536.249325,32559.27372
31-01-2020,3523.547316,33376.73228
01-02-2020,3510.814822,32113.90969
03-02-2020,3466.964196,34650.53745
04-02-2020,3434.390698,32261.54057
05-02-2020,3418.281031,32832.8153
06-02-2020,3404.124955,30477.21054
07-02-2020,3390.606761,31449.74175
08-02-2020,3376.868425,30367.09273
10-02-2020,3330.400649,33321.77936
11-02-2020,3296.205548,31161.05463
12-02-2020,3278.264412,31966.67708
13-02-2020,3262.070578,29846.32711
14-02-2020,3246.315585,31049.89171
15-02-2020,3230.152359,30189.06597
17-02-2020,3178.332585,33541.07992
18-02-2020,3141.250247,31547.40876
19-02-2020,3120.3132,32494.1294
20-02-2020,3101.042734,30485.92512
21-02-2020,3082.161072,31770.2834
22-02-2020,3062.854194,30957.13964
24-02-2020,3004.837861,34301.51408
25-02-2020,2964.77682,32252.41641
26-02-2020,2940.991488,33110.39022
27-02-2020,2919.041292,30981.77813
28-02-2020,2897.685998,32116.3724
29-02-2020,2876.147943,31127.01998
02-03-2020,2814.532532,34054.0211
03-03-2020,2784.490632,31772.13164
04-03-2020,2771.088585,32387.47505
05-03-2020,2759.907454,30011.43826
06-03-2020,2749.724084,30899.05371
07-03-2020,2739.772896,29668.51583
09-03-2020,2702.597211,32151.90462
10-03-2020,2674.078685,29677.99463
11-03-2020,2662.606861,30127.74039
12-03-2020,2653.745745,27617.0408
13-03-2020,2646.249057,28405.00889
18-03-2020,2576.858045,27764.04019
19-03-2020,2572.089274,25416.3898
28-05-2020,1841.238501,28489.88644
03-06-2020,1826.324229,31231.5984
04-06-2020,1829.766309,29156.31051
05-06-2020,1833.988693,30360.54723
06-06-2020,1838.150512,29459.59091
08-06-2020,1828.043992,32628.19906
09-06-2020,1812.355912,30502.92176
10-06-2020,1813.17183,31300.25889
12-06-2020,1819.585264,30253.13604
13-06-2020,1823.074193,29280.88095
15-06-2020,1811.605147,32348.36237
16-06-2020,1795.255432,30195.04543
17-06-2020,1795.439702,30979.79416
19-06-2020,1800.724298,29952.69869
22-06-2020,1791.527784,32178.30524
23-06-2020,1774.930477,30090.3094
24-06-2020,1774.956058,30948.96393
25-06-2020,1777.138384,28864.51255
26-06-2020,1780.206901,30089.95756
27-06-2020,1783.349137,29240.64375
29-06-2020,1771.704052,32601.67928
30-06-2020,1755.537755,30615.20469
01-07-2020,1756.091167,31578.02607
02-07-2020,1758.894321,29600.55984
03-07-2020,1762.67147,30936.25546
04-07-2020,1766.603566,30201.15294
06-07-2020,1756.748713,33806.27149
07-07-2020,1741.56288,31951.89847
08-07-2020,1743.138302,33055.11663
09-07-2020,1746.992097,31227.50572
10-07-2020,1751.834646,32723.56798
13-07-2020,1749.047266,36145.0888
14-07-2020,1734.83446,34498.92923
15-07-2020,1737.320772,35822.03595
16-07-2020,1742.00811,34225.00666
17-07-2020,1747.592319,35960.8751
18-07-2020,1753.226103,35644.58755
22-07-2020,1734.980545,40311.76863
24-07-2020,1745.009815,40913.82738
25-07-2020,1750.291061,40805.01762
28-07-2020,1727.494035,44377.00361
30-07-2020,1732.737691,44744.44693
01-08-2020,1740.961998,46595.70695
03-08-2020,1730.142479,51261.41971
04-08-2020,1713.904723,49848.13007
05-08-2020,1714.049645,51324.02593
06-08-2020,1716.100825,49794.6513
07-08-2020,1718.779454,51509.18311
08-08-2020,1721.26679,51080.05989
10-08-2020,1707.501367,55067.89205
11-08-2020,1689.866437,53286.93931
12-08-2020,1688.679637,54384.17369
13-08-2020,1689.473561,52471.70301
14-08-2020,1690.976523,53805.46243
17-08-2020,1676.702885,56303.15076
18-08-2020,1658.250912,54216.93107
19-08-2020,1656.335429,55042.66336
20-08-2020,1656.485166,52897.24664
21-08-2020,1657.423215,54040.6067
22-08-2020,1658.329642,53095.07712
24-08-2020,1641.862657,56248.33817
25-08-2020,1623.091622,54162.77637
26-08-2020,1620.89822,55036.94879
27-08-2020,1620.802949,52985.6438
28-08-2020,1621.521039,54265.67029
29-08-2020,1622.225271,53495.30896
01-09-2020,1586.426483,55267.05681
02-09-2020,1584.046022,56414.83921
03-09-2020,1583.758561,54645.27625
04-09-2020,1584.277888,56208.09188
05-09-2020,1584.776347,55714.52569
07-09-2020,1567.503092,59821.98004
08-09-2020,1548.326589,58214.41645
09-09-2020,1545.723972,59551.2022
10-09-2020,1545.215819,57935.68577
11-09-2020,1546.924404,59511.13263
12-09-2020,1548.618747,58989.02297
14-09-2020,1533.76551,62910.49139
15-09-2020,1515.816006,61145.41783
16-09-2020,1514.45249,62283.35846
17-09-2020,1515.195144,60430.14452
18-09-2020,1516.759169,61835.28384
19-09-2020,1518.317373,61111.56012
21-09-2020,1503.20512,64555.7981
22-09-2020,1485.12519,62526.26536
23-09-2020,1483.624887,63390.44829
24-09-2020,1484.219845,61260.2546
25-09-2020,1485.620818,62391.17618
26-09-2020,1486.99653,61401.72982
28-09-2020,1471.448171,64360.79631
29-09-2020,1453.110832,62120.7394
30-09-2020,1451.326648,62800.5183
01-10-2020,1451.613174,60514.56524
03-10-2020,1453.716918,60436.02167
05-10-2020,1437.471939,63297.03657
06-10-2020,1418.805142,61050.2805
07-10-2020,1416.723405,61748.09071
08-10-2020,1416.761467,59501.38711
09-10-2020,1417.653045,60563.1891
10-10-2020,1418.593595,59548.15629
12-10-2020,1402.522008,62565.16649
13-10-2020,1384.166474,60395.42455
14-10-2020,1382.577089,61163.05471
15-10-2020,1383.311631,58974.41971
16-10-2020,1385.125832,60078.43358
17-10-2020,1387.235583,59086.23358
19-10-2020,1374.312783,62080.26794
20-10-2020,1357.965057,59861.52086
21-10-2020,1358.68556,60554.49488
22-10-2020,1362.037041,58266.23791
23-10-2020,1366.775883,59247.28071
24-10-2020,1372.114056,58111.27723
26-10-2020,1366.519962,60769.40217
27-10-2020,1354.240732,58367.43998
28-10-2020,1359.270063,58873.91749
29-10-2020,1367.14322,56401.57069
30-10-2020,1376.584918,57206.85021
31-10-2020,1386.771674,55909.39762
02-11-2020,1391.15413,58310.84556
03-11-2020,1383.917714,55824.4582
04-11-2020,1393.966572,56282.11129
05-11-2020,1406.790126,53800.40819
06-11-2020,1421.067243,54638.8127
07-11-2020,1435.92933,53419.02142
09-11-2020,1449.009863,56112.37358
10-11-2020,1445.716213,53838.95553
11-11-2020,1459.389099,54551.54154
12-11-2020,1475.486977,52363.33094
13-11-2020,1492.662313,53529.35347
16-11-2020,1526.855168,56132.69637
17-11-2020,1524.794599,54261.95235
18-11-2020,1539.271525,55377.52216
19-11-2020,1555.750318,53584.55607
20-11-2020,1571.668761,55130.02715
21-11-2020,1587.37876,54622.34812
23-11-2020,1599.802221,58699.89022
24-11-2020,1595.040618,57070.86993
25-11-2020,1606.525139,58378.17894
26-11-2020,1619.753455,56722.51322
27-11-2020,1633.424051,58347.48095
28-11-2020,1646.698732,57859.33356
30-11-2020,1653.832375,61793.59656
01-12-2020,1646.286052,60003.71667
02-12-2020,1654.936705,61094.07182
03-12-2020,1665.312367,59169.38645
04-12-2020,1676.139165,60478.38989
05-12-2020,1686.603417,59633.43529
07-12-2020,1688.296971,62760.03841
08-12-2020,1678.152016,60535.10831
09-12-2020,1684.299275,61180.8248
10-12-2020,1692.272734,58810.57001
