Country,year_month,production,Rainfall,Date of Auction,Quantity,Price,Date,Month,Month_Num,Year,Price_lag1,Price_lag2,Price_lag3,Quantity_lag1,Quantity_lag2,Quantity_lag3,production_lag1,production_lag2,production_lag3,Rainfall_lag1,Rainfall_lag2,Rainfall_lag3,Price_MA3,Price_MA6,RF_Predicted_Price,RF_Predicted_Quantity
Vietnam,2020-01,0.8,5.9,01-01-2020,61562.8,3755.26,01-01-2020,1,1,2020,3756.37,3756.37,3755.26,36141.8,36141.8,61562.8,0.8,12,12,5.9,5.9,5.9,3756,3755.815,3755.013133,61562.779
Gautemala,2020-01,66.5,5.9,01-01-2020,36141.8,3756.37,01-01-2020,1,1,2020,3755.26,3756.37,3756.37,61562.8,36141.8,36141.8,0.8,0.8,12,5.9,5.9,5.9,3756,3756,3756.839967,36142.792
Honduras,2020-01,0.05,5.9,01-01-2020,36141.8,3756.37,01-01-2020,1,1,2020,3756.37,3755.26,3756.37,36141.8,61562.8,36141.8,66.5,0.8,0.8,5.9,5.9,5.9,3756,3756,3758.0898,36142.89033
India,2020-01,22.5,5.9,01-01-2020,61562.8,3755.26,01-01-2020,1,1,2020,3756.37,3756.37,3755.26,36141.8,36141.8,61562.8,0.05,66.5,0.8,5.9,5.9,5.9,3756,3756,3755.140133,61562.779
India,2020-01,22.5,5.9,01-01-2020,36141.8,3756.37,01-01-2020,1,1,2020,3755.26,3756.37,3756.37,61562.8,36141.8,36141.8,22.5,0.05,66.5,5.9,5.9,5.9,3756,3756,3756.044833,36142.03133
Gautemala,2020-01,66.5,5.9,01-01-2020,61562.8,3755.26,01-01-2020,1,1,2020,3756.37,3755.26,3756.37,36141.8,61562.8,36141.8,22.5,22.5,0.05,5.9,5.9,5.9,3755.63,3755.815,3753.9838,61562.713
Honduras,2020-01,0.05,5.9,01-01-2020,61562.8,3755.26,01-01-2020,1,1,2020,3755.26,3756.37,3755.26,61562.8,36141.8,61562.8,66.5,22.5,22.5,5.9,5.9,5.9,3755.63,3755.815,3753.831267,61562.739
Laos,2020-01,0.1,5.9,02-01-2020,74318.7,3802.22,02-01-2020,1,1,2020,3755.26,3755.26,3756.37,61562.8,61562.8,36141.8,0.05,66.5,22.5,5.9,5.9,5.9,3770.913333,3763.456667,3800.655333,74318.60933
Vietnam,2020-01,0.8,5.9,02-01-2020,74318.7,3802.22,02-01-2020,1,1,2020,3802.22,3755.26,3755.26,74318.7,61562.8,61562.8,0.1,0.05,66.5,5.9,5.9,5.9,3786.566667,3771.098333,3804.1156,74318.97467
Laos,2020-01,0.1,5.9,02-01-2020,15314.4,3696.14,02-01-2020,1,1,2020,3802.22,3802.22,3755.26,74318.7,74318.7,61562.8,0.8,0.1,0.05,5.9,5.9,5.9,3766.86,3761.245,3705.6139,15314.48933
Vietnam,2020-01,0.8,5.9,02-01-2020,15314.4,3696.14,02-01-2020,1,1,2020,3696.14,3802.22,3802.22,15314.4,74318.7,74318.7,0.1,0.8,0.1,5.9,5.9,5.9,3731.5,3751.206667,3702.977767,15314.36533
Indonesia,2020-01,12,5.9,02-01-2020,15314.4,3696.14,02-01-2020,1,1,2020,3696.14,3696.14,3802.22,15314.4,15314.4,74318.7,0.8,0.1,0.8,5.9,5.9,5.9,3696.14,3741.353333,3692.343767,15313.86933
Indonesia,2020-01,12,5.9,02-01-2020,74318.7,3802.22,02-01-2020,1,1,2020,3696.14,3696.14,3696.14,15314.4,15314.4,15314.4,12,0.8,0.1,5.9,5.9,5.9,3731.5,3749.18,3792.0233,74318.83067
Honduras,2020-01,0.05,5.9,02-01-2020,74318.7,3802.22,02-01-2020,1,1,2020,3802.22,3696.14,3696.14,74318.7,15314.4,15314.4,12,12,0.8,5.9,5.9,5.9,3766.86,3749.18,3785.7661,74319.19233
India,2020-01,22.5,5.9,02-01-2020,74318.7,3802.22,02-01-2020,1,1,2020,3802.22,3802.22,3696.14,74318.7,74318.7,15314.4,0.05,12,12,5.9,5.9,5.9,3802.22,3749.18,3812.607133,74318.25367
India,2020-01,22.5,5.9,02-01-2020,15314.4,3696.14,02-01-2020,1,1,2020,3802.22,3802.22,3802.22,74318.7,74318.7,74318.7,22.5,0.05,12,5.9,5.9,5.9,3766.86,3749.18,3702.892067,15313.532
Gautemala,2020-01,66.5,5.9,02-01-2020,15314.4,3696.14,02-01-2020,1,1,2020,3696.14,3802.22,3802.22,15314.4,74318.7,74318.7,22.5,22.5,0.05,5.9,5.9,5.9,3731.5,3749.18,3701.877733,15313.62133
Gautemala,2020-01,66.5,5.9,02-01-2020,74318.7,3802.22,02-01-2020,1,1,2020,3696.14,3696.14,3802.22,15314.4,15314.4,74318.7,66.5,22.5,22.5,5.9,5.9,5.9,3731.5,3766.86,3783.3538,74317.73567
Honduras,2020-01,0.05,5.9,02-01-2020,15314.4,3696.14,02-01-2020,1,1,2020,3802.22,3696.14,3696.14,74318.7,15314.4,15314.4,66.5,66.5,22.5,5.9,5.9,5.9,3731.5,3749.18,3713.12,15312.25733
Honduras,2020-01,0.05,5.9,03-01-2020,55186.8,3885.87,03-01-2020,1,1,2020,3696.14,3802.22,3696.14,15314.4,74318.7,15314.4,0.05,66.5,66.5,5.9,5.9,5.9,3794.743333,3763.121667,3864.930533,55187.50433
Vietnam,2020-01,0.8,5.9,03-01-2020,9282.7,3862.26,03-01-2020,1,1,2020,3885.87,3696.14,3802.22,55186.8,15314.4,74318.7,0.05,0.05,66.5,5.9,5.9,5.9,3814.756667,3773.128333,3835.0158,9282.397
Vietnam,2020-01,0.8,5.9,03-01-2020,55186.8,3885.87,03-01-2020,1,1,2020,3862.26,3885.87,3696.14,9282.7,55186.8,15314.4,0.8,0.05,0.05,5.9,5.9,5.9,3878,3804.75,3882.1011,55187.034
