Country,year_month,production,Rainfall,Date of Auction,Quantity,Price,Date,Month,Month_Num,Year,Price_lag1,Price_lag2,Price_lag3,Quantity_lag1,Quantity_lag2,Quantity_lag3,production_lag1,production_lag2,production_lag3,Rainfall_lag1,Rainfall_lag2,Rainfall_lag3,Price_MA3,Price_MA6,XGB_Predicted_Price,XGB_Predicted_Quantity
Vietnam,2020-01,0.8,5.9,01-01-2020,61562.8,3755.26,01-01-2020,1,1,2020,3756.37,3756.37,3755.26,36141.8,36141.8,61562.8,0.8,12,12,5.9,5.9,5.9,3756,3755.815,3761.5757,61558.855
Gautemala,2020-01,66.5,5.9,01-01-2020,36141.8,3756.37,01-01-2020,1,1,2020,3755.26,3756.37,3756.37,61562.8,36141.8,36141.8,0.8,0.8,12,5.9,5.9,5.9,3756,3756,3764.5447,36861.06
Honduras,2020-01,0.05,5.9,01-01-2020,36141.8,3756.37,01-01-2020,1,1,2020,3756.37,3755.26,3756.37,36141.8,61562.8,36141.8,66.5,0.8,0.8,5.9,5.9,5.9,3756,3756,3762.7007,36584.477
India,2020-01,22.5,5.9,01-01-2020,61562.8,3755.26,01-01-2020,1,1,2020,3756.37,3756.37,3755.26,36141.8,36141.8,61562.8,0.05,66.5,0.8,5.9,5.9,5.9,3756,3756,3762.8933,61570.33
India,2020-01,22.5,5.9,01-01-2020,36141.8,3756.37,01-01-2020,1,1,2020,3755.26,3756.37,3756.37,61562.8,36141.8,36141.8,22.5,0.05,66.5,5.9,5.9,5.9,3756,3756,3765.9346,36226.117
Gautemala,2020-01,66.5,5.9,01-01-2020,61562.8,3755.26,01-01-2020,1,1,2020,3756.37,3755.26,3756.37,36141.8,61562.8,36141.8,22.5,22.5,0.05,5.9,5.9,5.9,3755.63,3755.815,3762.1226,61791.03
Honduras,2020-01,0.05,5.9,01-01-2020,61562.8,3755.26,01-01-2020,1,1,2020,3755.26,3756.37,3755.26,61562.8,36141.8,61562.8,66.5,22.5,22.5,5.9,5.9,5.9,3755.63,3755.815,3761.8362,61576.54
Laos,2020-01,0.1,5.9,02-01-2020,74318.7,3802.22,02-01-2020,1,1,2020,3755.26,3755.26,3756.37,61562.8,61562.8,36141.8,0.05,66.5,22.5,5.9,5.9,5.9,3770.913333,3763.456667,3809.7893,74224.016
Vietnam,2020-01,0.8,5.9,02-01-2020,74318.7,3802.22,02-01-2020,1,1,2020,3802.22,3755.26,3755.26,74318.7,61562.8,61562.8,0.1,0.05,66.5,5.9,5.9,5.9,3786.566667,3771.098333,3791.716,74397.19
Laos,2020-01,0.1,5.9,02-01-2020,15314.4,3696.14,02-01-2020,1,1,2020,3802.22,3802.22,3755.26,74318.7,74318.7,61562.8,0.8,0.1,0.05,5.9,5.9,5.9,3766.86,3761.245,3707.8503,14704.524
Vietnam,2020-01,0.8,5.9,02-01-2020,15314.4,3696.14,02-01-2020,1,1,2020,3696.14,3802.22,3802.22,15314.4,74318.7,74318.7,0.1,0.8,0.1,5.9,5.9,5.9,3731.5,3751.206667,3695.4766,14835.065
Indonesia,2020-01,12,5.9,02-01-2020,15314.4,3696.14,02-01-2020,1,1,2020,3696.14,3696.14,3802.22,15314.4,15314.4,74318.7,0.8,0.1,0.8,5.9,5.9,5.9,3696.14,3741.353333,3690.822,15758.726
Indonesia,2020-01,12,5.9,02-01-2020,74318.7,3802.22,02-01-2020,1,1,2020,3696.14,3696.14,3696.14,15314.4,15314.4,15314.4,12,0.8,0.1,5.9,5.9,5.9,3731.5,3749.18,3777.2317,73922.766
Honduras,2020-01,0.05,5.9,02-01-2020,74318.7,3802.22,02-01-2020,1,1,2020,3802.22,3696.14,3696.14,74318.7,15314.4,15314.4,12,12,0.8,5.9,5.9,5.9,3766.86,3749.18,3801.8784,74115.94
India,2020-01,22.5,5.9,02-01-2020,74318.7,3802.22,02-01-2020,1,1,2020,3802.22,3802.22,3696.14,74318.7,74318.7,15314.4,0.05,12,12,5.9,5.9,5.9,3802.22,3749.18,3790.2588,74657.336
India,2020-01,22.5,5.9,02-01-2020,15314.4,3696.14,02-01-2020,1,1,2020,3802.22,3802.22,3802.22,74318.7,74318.7,74318.7,22.5,0.05,12,5.9,5.9,5.9,3766.86,3749.18,3712.212,14886.019
Gautemala,2020-01,66.5,5.9,02-01-2020,15314.4,3696.14,02-01-2020,1,1,2020,3696.14,3802.22,3802.22,15314.4,74318.7,74318.7,22.5,22.5,0.05,5.9,5.9,5.9,3731.5,3749.18,3695.9448,15094.071
Gautemala,2020-01,66.5,5.9,02-01-2020,74318.7,3802.22,02-01-2020,1,1,2020,3696.14,3696.14,3802.22,15314.4,15314.4,74318.7,66.5,22.5,22.5,5.9,5.9,5.9,3731.5,3766.86,3784.5276,74667.336
Honduras,2020-01,0.05,5.9,02-01-2020,15314.4,3696.14,02-01-2020,1,1,2020,3802.22,3696.14,3696.14,74318.7,15314.4,15314.4,66.5,66.5,22.5,5.9,5.9,5.9,3731.5,3749.18,3690.8628,15422.731
Honduras,2020-01,0.05,5.9,03-01-2020,55186.8,3885.87,03-01-2020,1,1,2020,3696.14,3802.22,3696.14,15314.4,74318.7,15314.4,0.05,66.5,66.5,5.9,5.9,5.9,3794.743333,3763.121667,3844.8684,55345.566
Vietnam,2020-01,0.8,5.9,03-01-2020,9282.7,3862.26,03-01-2020,1,1,2020,3885.87,3696.14,3802.22,55186.8,15314.4,74318.7,0.05,0.05,66.5,5.9,5.9,5.9,3814.756667,3773.128333,3839.1653,9261.226
Vietnam,2020-01,0.8,5.9,03-01-2020,55186.8,3885.87,03-01-2020,1,1,2020,3862.26,3885.87,3696.14,9282.7,55186.8,15314.4,0.8,0.05,0.05,5.9,5.9,5.9,3878,3804.75,3885.006,55335.375
Honduras,2020-01,0.05,5.9,03-01-2020,9282.7,3862.26,03-01-2020,1,1,2020,3885.87,3862.26,3885.87,55186.8,9282.7,55186.8,0.8,0.8,0.05,5.9,5.9,5.9,3870.13,3832.436667,3864.7422,9041.356
India,2020-01,22.5,5.9,03-01-2020,9282.7,3862.26,03-01-2020,1,1,2020,3862.26,3885.87,3862.26,9282.7,55186.8,9282.7,0.05,0.8,0.8,5.9,5.9,5.9,3870.13,3842.443333,3853.5642,9432.928
Indonesia,2020-01,12,5.9,03-01-2020,55186.8,3885.87,03-01-2020,1,1,2020,3862.26,3862.26,3885.87,9282.7,9282.7,55186.8,22.5,0.05,0.8,5.9,5.9,5.9,3870.13,3874.065,3865.9219,55438.516
Indonesia,2020-01,12,5.9,03-01-2020,9282.7,3862.26,03-01-2020,1,1,2020,3885.87,3862.26,3862.26,55186.8,9282.7,9282.7,12,22.5,0.05,5.9,5.9,5.9,3870.13,3870.13,3851.3616,9360.241
Laos,2020-01,0.1,5.9,03-01-2020,55186.8,3885.87,03-01-2020,1,1,2020,3862.26,3885.87,3862.26,9282.7,55186.8,9282.7,12,12,22.5,5.9,5.9,5.9,3878,3874.065,3888.1584,55217.047
Laos,2020-01,0.1,5.9,03-01-2020,9282.7,3862.26,03-01-2020,1,1,2020,3885.87,3862.26,3885.87,55186.8,9282.7,55186.8,0.1,12,12,5.9,5.9,5.9,3870.13,3870.13,3871.676,8650.525
Gautemala,2020-01,66.5,5.9,03-01-2020,9282.7,3862.26,03-01-2020,1,1,2020,3862.26,3885.87,3862.26,9282.7,55186.8,9282.7,0.1,0.1,12,5.9,5.9,5.9,3870.13,3870.13,3854.798,9229.983
Gautemala,2020-01,66.5,5.9,03-01-2020,55186.8,3885.87,03-01-2020,1,1,2020,3862.26,3862.26,3885.87,9282.7,9282.7,55186.8,66.5,0.1,0.1,5.9,5.9,5.9,3870.13,3874.065,3869.271,55435.48
India,2020-01,22.5,5.9,03-01-2020,55186.8,3885.87,03-01-2020,1,1,2020,3885.87,3862.26,3862.26,55186.8,9282.7,9282.7,66.5,66.5,0.1,5.9,5.9,5.9,3878,3874.065,3886.9897,54927.875
Laos,2020-01,0.1,5.9,04-01-2020,65556.8,4096.89,04-01-2020,1,1,2020,3885.87,3885.87,3862.26,55186.8,55186.8,9282.7,22.5,66.5,66.5,5.9,5.9,5.9,3956.21,3913.17,4068.91,65516.598
Honduras,2020-01,0.05,5.9,04-01-2020,61190.8,4015.6,04-01-2020,1,1,2020,4096.89,3885.87,3885.87,65556.8,55186.8,55186.8,0.1,22.5,66.5,5.9,5.9,5.9,3999.453333,3934.791667,4009.3477,61086.28
Honduras,2020-01,0.05,5.9,04-01-2020,65556.8,4096.89,04-01-2020,1,1,2020,4015.6,4096.89,3885.87,61190.8,65556.8,55186.8,0.05,0.1,22.5,5.9,5.9,5.9,4069.793333,3973.896667,4087.764,65531.84
Laos,2020-01,0.1,5.9,04-01-2020,61190.8,4015.6,04-01-2020,1,1,2020,4096.89,4015.6,4096.89,65556.8,61190.8,65556.8,0.05,0.05,0.1,5.9,5.9,5.9,4042.696667,3999.453333,4012.105,61172.523
Indonesia,2020-01,12,5.9,04-01-2020,61190.8,4015.6,04-01-2020,1,1,2020,4015.6,4096.89,4015.6,61190.8,65556.8,61190.8,0.1,0.05,0.05,5.9,5.9,5.9,4042.696667,4021.075,4004.9219,61157.668
Gautemala,2020-01,66.5,5.9,04-01-2020,61190.8,4015.6,04-01-2020,1,1,2020,4015.6,4015.6,4096.89,61190.8,61190.8,65556.8,12,0.1,0.05,5.9,5.9,5.9,4015.6,4042.696667,4005.376,61180.16
